GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,4,3,0,0,2,1,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,74,7,0,0,19,2,6,2,6,2
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,137,3,4,0,26,1,10,1,8,1
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,70,7,2,0,19,2,7,2,6,2
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,59,3,0,0,14,1,6,1,6,1
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,59,3,0,0,14,1,6,1,6,1
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,59,3,0,0,14,1,6,1,6,1
spring-boot-skeleton,com.nnk.springboot.service.impl,UserServiceImpl,65,7,4,0,15,2,6,2,4,2
spring-boot-skeleton,com.nnk.springboot.service.impl,BidListServiceImpl,24,3,0,0,7,1,4,1,4,1
spring-boot-skeleton,com.nnk.springboot.config,SecurityConfiguration,0,56,0,0,0,17,0,4,0,4
spring-boot-skeleton,com.nnk.springboot.config,PasswordConfig,0,7,0,0,0,2,0,2,0,2
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,0,56,0,0,0,24,0,12,0,12
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,0,41,0,0,0,17,0,6,0,6
spring-boot-skeleton,com.nnk.springboot.domain,Trade,0,33,0,0,0,15,0,8,0,8
spring-boot-skeleton,com.nnk.springboot.domain,BidList,11,19,0,0,5,9,3,5,3,5
spring-boot-skeleton,com.nnk.springboot.domain,User,35,3,0,0,15,1,10,1,10,1
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,0,38,0,0,0,16,0,11,0,11
